RIVER_NAME,Station_ID,Temperature(c),PH(m),DO(Mg/L),Salinity(ppt),TDS(Mg/L),EC(MicroS)/cm,FE(Mg/L),CI(Mg/L)
Turag,SW302,27.31,7.04,4.87,0,67.7,135.4,0.16,11
Turag,SW302,27.31,6.85,7.6,0.1,180.4,361,0.02,29.5
Turag,SW302,27.31,7.51,111.8,0,92,184,0.02,44
Turag,SW302,28.9,4.64,4.3,0,0.52,142.8,1,35
Turag,SW302,21.24,8.73,7.15,0.12,0.2,323.7,0.56,45.22
Turag,SW302,29.1,7,0.64,0,63.1,126.1,0.54,12.5
Turag,SW302,25.68,8.25,7.61,0.12,0.17,276,0.56,45.22
Turag,SW302,27.31,7.4,1.66,0.4,467,933,0.05,40.5
Turag,SW302,20.39,6.98,1.64,0.27,0.34,189.4,0.56,45.22
Turag,SW302,27.31,6.75,2.75,0.1,141.1,282,0,35
Turag,SW302,20.1,6.36,1.28,0.3,337,675,0.35,75
Turag,SW302,29,7.1,7.2,0.3,55,620,0.2,15
Turag,SW302,24.8,7.1,1.06,0.3,324,648,0.26,65
Turag,SW302,27.31,7.36,8.3,0.3,260,699,0.31,85
Turag,SW302,27.31,7.8,6.1,0.3,347,694,0.01,92
Turag,SW302,22.7,7.09,1.45,0,40.1,79.7,0.22,7
Turag,SW302,27.31,6.44,8.48,0.3,340,680,0.03,7.5
Turag,SW302,27.31,7.5,5.9,0.3,353,705,0.05,20
Turag,SW302,26,7.6,7.1,0.3,2.54,709,0,96
Turag,SW302,22,8.3,0.06,0.1,106,211,1.22,30
Turag,SW302,26.04,8.26,5.03,0.11,0.18,289,0.56,45.22
Turag,SW302,33.15,8.64,4.13,0.11,0.16,256.4,0.56,45.22
Turag,SW302,27.31,7.1,2.01,0.4,427,853,0.27,43
Turag,SW302,27.31,7.13,10,0.4,420,840,0.03,98
Turag,SW302,27.31,7.02,7.45,0.4,446,892,0.02,5.8
Turag,SW302,29,7.1,7.1,1.7,51,618.2,0.19,14
Turag,SW302,26.1,6.79,4.58,0.4,407,814,0.3,81
Turag,SW302,27.8,6.43,2.76,0.4,423,845,0.3,88.9
Turag,SW302,27.31,7.11,8.1,0.4,429,859,0.02,63
Turag,SW302,27.31,7.7,6.7,0.5,491,982,0.05,77
Turag,SW302,27.31,7.4,0.05,0.17,557,1114,0.5,25
Turag,SW302,26,7.5,7,0.2,2.54,709,0,99
Turag,SW302,20.88,5.63,1.65,0.28,0.35,172.3,0.56,45.22
Turag,SW302,20.47,8.31,4.19,0.1,0.13,213.4,0.56,45.22
Turag,SW302,20.17,8.7,7.21,0.09,0.14,231,0.56,45.22
Turag,SW302,16.43,8.93,7.78,0.05,0.1,155.8,0.56,45.22
Turag,SW302,27.31,7.5,6.3,0.3,358,716,0.86,55
Turag,SW302,21.5,7.02,1.04,0.2,217,434,0.08,43
Turag,SW302,27.31,8.06,6.1,0.2,285,571,0.01,5.9
Turag,SW302,27.31,6.52,7.84,0.2,255,510,0.03,47.5
Turag,SW302,22.3,7.08,2.53,0.2,255,511,0.76,45
Turag,SW302,22.7,7.09,1.45,0,40.1,79.7,0.22,7
Turag,SW302,22.7,7.09,1.45,0,40.1,79.7,0.22,7
Turag,SW302,27.31,7.13,2.46,0.2,256,510,0.03,65
Turag,SW302,27.31,7.13,2.46,0.2,256,510,0.03,65
Turag,SW302,26,7.9,7.1,0,2.55,504,0,50
Turag,SW302,30.13,8.12,7.25,0.05,0.08,126.59,0.56,45.22
Turag,SW302,21,8.5,0.07,0.2,210,190,1.2,40
Turag,SW302,30.06,8,7.05,0.05,0.08,126.34,0.56,45.22
Turag,SW302,30.05,8.01,7.13,0.05,0.08,125.89,0.56,45.22
Turag,SW302,27.31,6.68,2.22,0,66.1,132.2,0.04,5.75
Turag,SW302,27.31,7.22,0.63,0,60.6,121.1,0.58,21.5
Turag,SW302,29.1,7,0.64,0,63.1,126.1,0.54,12.5
Turag,SW302,28,6.3,0.3,0,56.6,113.1,0.53,11.5
Turag,SW302,27.31,7.28,6.66,0,121.4,243,0.02,19.5
Turag,SW302,27.31,7.45,107.1,0,65,130.2,0.13,33.75
Turag,SW302,27.31,7.8,8.2,0,86,173,0.14,27
Turag,SW302,25.1,8,7.1,0,0.57,119,1,15
